n.evals.q.1.0.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.network.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.layer.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.neuron.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.hebbian.synapse.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.min	xor._.me.freeForm.best.solution.non.learning.stateless.as.numrl.agent.sim.sequentialXor.avg.UNLIMITED.max
1.000e+02	2.518e-01	8.689e-02	4.999e-01	3.670e-01	8.892e-02	4.884e-01	3.997e-01	1.535e-01	7.118e-01	3.944e-01	2.737e-01	4.977e-01	5.000e-01	5.000e-01	5.000e-01
2.000e+02	2.493e-01	8.689e-02	4.999e-01	6.998e-02	8.185e-03	2.483e-01	4.480e-01	3.301e-01	7.216e-01	3.419e-01	2.733e-01	6.345e-01	5.000e-01	5.000e-01	5.000e-01
3.000e+02	2.493e-01	8.689e-02	4.999e-01	4.306e-02	6.558e-03	2.036e-01	4.661e-01	3.885e-01	8.017e-01	4.021e-01	2.737e-01	5.864e-01	5.000e-01	5.000e-01	5.000e-01
4.000e+02	2.493e-01	8.689e-02	4.999e-01	4.306e-02	6.558e-03	2.036e-01	4.661e-01	3.829e-01	6.889e-01	4.757e-01	2.805e-01	5.864e-01	5.000e-01	5.000e-01	5.000e-01
5.000e+02	2.493e-01	8.689e-02	4.999e-01	4.306e-02	6.558e-03	2.036e-01	4.448e-01	3.689e-01	5.173e-01	4.942e-01	2.908e-01	5.864e-01	5.000e-01	5.000e-01	5.000e-01
6.000e+02	2.502e-01	8.689e-02	4.999e-01	4.306e-02	6.558e-03	8.939e-02	4.375e-01	3.652e-01	4.819e-01	4.942e-01	2.908e-01	6.413e-01	5.000e-01	5.000e-01	5.000e-01
7.000e+02	2.502e-01	8.689e-02	4.999e-01	4.306e-02	6.558e-03	8.939e-02	4.438e-01	3.689e-01	4.819e-01	4.525e-01	3.341e-01	5.472e-01	5.000e-01	5.000e-01	5.000e-01
8.000e+02	2.502e-01	8.689e-02	4.989e-01	4.306e-02	6.558e-03	8.939e-02	4.438e-01	3.689e-01	4.819e-01	4.590e-01	3.341e-01	5.472e-01	5.000e-01	5.000e-01	5.000e-01
9.000e+02	2.502e-01	8.689e-02	4.989e-01	4.306e-02	6.558e-03	8.939e-02	4.419e-01	3.689e-01	4.819e-01	4.525e-01	3.097e-01	5.472e-01	5.000e-01	5.000e-01	5.000e-01
1.000e+03	2.502e-01	8.689e-02	4.989e-01	4.306e-02	6.558e-03	1.358e-01	4.375e-01	3.689e-01	4.819e-01	4.525e-01	3.097e-01	5.622e-01	5.000e-01	5.000e-01	5.000e-01
1.100e+03	2.502e-01	8.689e-02	4.989e-01	4.306e-02	6.558e-03	1.358e-01	4.375e-01	3.689e-01	4.819e-01	4.525e-01	3.097e-01	5.652e-01	5.000e-01	5.000e-01	5.668e-01
1.200e+03	2.502e-01	8.689e-02	4.989e-01	4.306e-02	6.558e-03	1.358e-01	4.375e-01	3.689e-01	4.819e-01	4.490e-01	3.097e-01	5.622e-01	5.000e-01	5.000e-01	7.500e-01
1.300e+03	2.502e-01	8.689e-02	4.989e-01	5.024e-02	6.558e-03	1.358e-01	4.375e-01	3.652e-01	4.819e-01	4.671e-01	3.881e-01	5.764e-01	5.000e-01	5.000e-01	7.500e-01
1.400e+03	2.500e-01	8.689e-02	4.989e-01	5.024e-02	6.558e-03	1.358e-01	4.359e-01	3.644e-01	4.661e-01	5.098e-01	4.021e-01	5.873e-01	5.000e-01	5.000e-01	7.500e-01
1.500e+03	2.500e-01	8.689e-02	4.989e-01	6.713e-02	9.082e-03	1.358e-01	4.359e-01	3.644e-01	4.661e-01	4.671e-01	3.882e-01	5.873e-01	5.000e-01	5.000e-01	7.500e-01
1.600e+03	2.500e-01	8.689e-02	4.989e-01	5.908e-02	9.082e-03	1.358e-01	4.359e-01	3.644e-01	4.661e-01	5.059e-01	4.021e-01	6.238e-01	5.000e-01	5.000e-01	7.500e-01
1.700e+03	2.500e-01	8.689e-02	4.989e-01	5.908e-02	9.082e-03	1.358e-01	4.359e-01	3.644e-01	4.661e-01	5.059e-01	4.021e-01	6.238e-01	5.000e-01	5.000e-01	7.500e-01
1.800e+03	2.500e-01	8.689e-02	4.989e-01	5.908e-02	9.082e-03	1.358e-01	4.182e-01	3.110e-01	4.561e-01	4.671e-01	3.882e-01	5.790e-01	5.000e-01	5.000e-01	9.625e-01
1.900e+03	2.500e-01	8.689e-02	4.989e-01	5.908e-02	2.722e-02	1.358e-01	4.182e-01	3.110e-01	4.561e-01	4.969e-01	3.882e-01	5.873e-01	5.000e-01	5.000e-01	9.625e-01
2.000e+03	2.500e-01	8.689e-02	4.382e-01	5.908e-02	2.722e-02	1.358e-01	4.182e-01	3.110e-01	4.561e-01	5.059e-01	4.180e-01	5.873e-01	5.000e-01	5.000e-01	9.625e-01
2.100e+03	2.500e-01	8.689e-02	4.382e-01	6.842e-02	2.729e-02	1.503e-01	4.182e-01	3.110e-01	4.561e-01	5.206e-01	4.180e-01	5.901e-01	5.000e-01	5.000e-01	9.625e-01
2.200e+03	2.500e-01	8.689e-02	4.382e-01	7.471e-02	2.729e-02	1.532e-01	4.182e-01	3.110e-01	4.561e-01	4.969e-01	3.882e-01	5.873e-01	5.000e-01	5.000e-01	9.625e-01
2.300e+03	2.500e-01	8.689e-02	4.382e-01	8.939e-02	2.729e-02	1.532e-01	4.182e-01	3.110e-01	4.561e-01	4.969e-01	3.882e-01	5.873e-01	5.000e-01	5.000e-01	9.625e-01
2.400e+03	2.500e-01	8.689e-02	4.382e-01	9.574e-02	2.729e-02	1.614e-01	4.182e-01	3.110e-01	4.561e-01	4.671e-01	3.882e-01	5.873e-01	5.000e-01	5.000e-01	1.000e+00
2.500e+03	2.500e-01	8.689e-02	4.382e-01	9.574e-02	2.729e-02	1.614e-01	4.182e-01	3.110e-01	4.561e-01	4.671e-01	3.882e-01	5.873e-01	5.000e-01	5.000e-01	9.625e-01
2.600e+03	2.500e-01	8.689e-02	4.382e-01	9.574e-02	2.729e-02	1.614e-01	4.182e-01	3.069e-01	4.561e-01	4.671e-01	3.882e-01	5.873e-01	5.000e-01	5.000e-01	8.418e-01
2.700e+03	2.500e-01	8.689e-02	4.382e-01	9.574e-02	2.729e-02	1.614e-01	4.182e-01	2.727e-01	4.561e-01	4.671e-01	3.948e-01	5.790e-01	5.000e-01	5.000e-01	9.625e-01
2.800e+03	2.500e-01	8.689e-02	4.382e-01	9.574e-02	2.729e-02	1.614e-01	4.182e-01	2.727e-01	4.561e-01	4.671e-01	3.948e-01	5.790e-01	5.000e-01	5.000e-01	9.625e-01
2.900e+03	2.500e-01	8.689e-02	4.382e-01	9.574e-02	2.729e-02	1.614e-01	4.359e-01	2.727e-01	4.561e-01	4.395e-01	3.882e-01	5.206e-01	5.000e-01	5.000e-01	9.625e-01
3.000e+03	2.500e-01	8.689e-02	4.382e-01	9.574e-02	2.729e-02	1.614e-01	4.359e-01	2.727e-01	4.561e-01	4.507e-01	3.882e-01	5.454e-01	5.000e-01	5.000e-01	8.973e-01
3.100e+03	2.500e-01	8.689e-02	4.382e-01	9.794e-02	3.002e-02	1.679e-01	4.359e-01	2.727e-01	4.561e-01	4.366e-01	3.286e-01	5.454e-01	5.000e-01	5.000e-01	8.973e-01
3.200e+03	2.500e-01	8.689e-02	4.382e-01	9.794e-02	3.002e-02	1.679e-01	4.359e-01	2.727e-01	4.561e-01	4.366e-01	3.286e-01	5.454e-01	5.000e-01	5.000e-01	8.973e-01
3.300e+03	2.500e-01	8.689e-02	4.382e-01	9.794e-02	3.002e-02	1.679e-01	4.359e-01	2.727e-01	4.561e-01	4.366e-01	3.286e-01	5.454e-01	5.000e-01	5.000e-01	8.973e-01
3.400e+03	2.500e-01	8.689e-02	4.382e-01	9.794e-02	3.002e-02	1.679e-01	4.359e-01	2.727e-01	4.561e-01	4.366e-01	3.286e-01	5.454e-01	5.022e-01	5.000e-01	9.625e-01
3.500e+03	2.500e-01	8.689e-02	4.382e-01	9.794e-02	3.002e-02	1.679e-01	4.359e-01	2.727e-01	4.561e-01	4.366e-01	3.286e-01	5.454e-01	5.189e-01	5.000e-01	9.625e-01
3.600e+03	2.500e-01	8.689e-02	4.382e-01	9.794e-02	3.002e-02	1.679e-01	4.359e-01	2.727e-01	4.561e-01	4.366e-01	3.286e-01	5.454e-01	5.189e-01	5.000e-01	1.000e+00
3.700e+03	2.500e-01	8.689e-02	4.382e-01	1.004e-01	3.002e-02	1.718e-01	4.359e-01	2.727e-01	4.561e-01	4.315e-01	3.286e-01	5.206e-01	5.518e-01	5.000e-01	1.000e+00
3.800e+03	2.500e-01	8.689e-02	4.382e-01	1.004e-01	3.002e-02	1.976e-01	4.359e-01	2.727e-01	4.561e-01	4.315e-01	3.286e-01	5.206e-01	5.518e-01	5.000e-01	1.000e+00
3.900e+03	2.500e-01	8.689e-02	4.382e-01	1.004e-01	3.002e-02	1.976e-01	4.359e-01	2.727e-01	4.561e-01	4.315e-01	3.286e-01	5.206e-01	5.518e-01	5.000e-01	1.000e+00
4.000e+03	2.500e-01	8.689e-02	4.382e-01	1.287e-01	3.002e-02	2.022e-01	4.359e-01	2.727e-01	4.561e-01	4.315e-01	3.286e-01	5.206e-01	5.518e-01	5.000e-01	1.000e+00
4.100e+03	2.500e-01	8.689e-02	4.382e-01	1.532e-01	3.773e-02	2.036e-01	4.359e-01	2.727e-01	4.561e-01	4.180e-01	3.233e-01	4.969e-01	5.518e-01	5.000e-01	1.000e+00
4.200e+03	2.500e-01	8.689e-02	4.382e-01	1.287e-01	3.773e-02	2.022e-01	4.359e-01	2.727e-01	4.561e-01	4.180e-01	3.233e-01	4.969e-01	5.518e-01	5.000e-01	1.000e+00
4.300e+03	2.500e-01	8.689e-02	4.382e-01	1.287e-01	3.773e-02	2.022e-01	4.359e-01	2.614e-01	4.561e-01	4.180e-01	3.233e-01	4.969e-01	5.518e-01	5.000e-01	1.000e+00
4.400e+03	2.500e-01	8.689e-02	4.382e-01	1.532e-01	3.773e-02	2.036e-01	4.359e-01	2.614e-01	4.561e-01	4.180e-01	3.233e-01	4.969e-01	5.189e-01	5.000e-01	1.000e+00
4.500e+03	2.500e-01	8.689e-02	4.382e-01	1.532e-01	3.773e-02	2.036e-01	4.359e-01	2.614e-01	4.561e-01	4.171e-01	3.227e-01	4.690e-01	5.189e-01	5.000e-01	1.000e+00
4.600e+03	2.500e-01	8.689e-02	4.382e-01	1.532e-01	3.773e-02	2.036e-01	4.359e-01	2.614e-01	4.561e-01	4.171e-01	3.227e-01	4.690e-01	5.207e-01	5.000e-01	1.000e+00
4.700e+03	2.500e-01	8.689e-02	4.382e-01	1.532e-01	3.773e-02	2.036e-01	4.359e-01	2.614e-01	4.561e-01	4.171e-01	3.227e-01	4.690e-01	5.207e-01	5.000e-01	1.000e+00
4.800e+03	2.500e-01	8.689e-02	4.382e-01	1.532e-01	3.773e-02	2.036e-01	4.359e-01	2.614e-01	4.561e-01	4.171e-01	3.227e-01	4.690e-01	5.207e-01	5.000e-01	1.000e+00
4.900e+03	2.500e-01	8.689e-02	4.382e-01	1.532e-01	3.773e-02	2.036e-01	4.359e-01	2.614e-01	4.561e-01	3.951e-01	3.227e-01	4.671e-01	5.207e-01	5.000e-01	1.000e+00
5.000e+03	2.500e-01	8.689e-02	4.382e-01	1.532e-01	3.773e-02	2.036e-01	4.359e-01	2.614e-01	4.561e-01	3.951e-01	3.227e-01	4.671e-01	5.518e-01	5.000e-01	1.000e+00
5.100e+03	2.500e-01	8.689e-02	4.382e-01	1.532e-01	4.655e-02	2.036e-01	4.359e-01	2.614e-01	4.561e-01	3.951e-01	3.227e-01	4.671e-01	5.518e-01	5.000e-01	1.000e+00
5.200e+03	2.500e-01	8.689e-02	4.382e-01	1.532e-01	4.655e-02	2.036e-01	4.359e-01	2.614e-01	4.561e-01	3.948e-01	3.179e-01	4.525e-01	5.556e-01	5.000e-01	1.000e+00
5.300e+03	2.500e-01	8.689e-02	4.382e-01	1.532e-01	4.655e-02	2.036e-01	4.182e-01	2.149e-01	4.557e-01	3.882e-01	3.179e-01	4.395e-01	5.556e-01	5.000e-01	1.000e+00
5.400e+03	2.500e-01	8.689e-02	4.382e-01	1.497e-01	4.655e-02	2.022e-01	4.182e-01	2.149e-01	4.557e-01	3.882e-01	3.179e-01	4.395e-01	5.556e-01	5.000e-01	1.000e+00
5.500e+03	2.500e-01	8.689e-02	4.382e-01	1.497e-01	4.655e-02	2.022e-01	4.182e-01	2.149e-01	4.557e-01	3.882e-01	3.179e-01	4.395e-01	5.810e-01	5.000e-01	1.000e+00
5.600e+03	2.500e-01	8.689e-02	4.382e-01	1.497e-01	4.655e-02	2.022e-01	4.182e-01	2.149e-01	4.557e-01	3.882e-01	3.179e-01	4.395e-01	5.985e-01	5.000e-01	1.000e+00
5.700e+03	2.500e-01	8.689e-02	4.382e-01	1.497e-01	4.655e-02	2.022e-01	4.182e-01	2.149e-01	4.557e-01	3.882e-01	3.179e-01	4.395e-01	7.657e-01	5.000e-01	1.000e+00
5.800e+03	2.500e-01	8.689e-02	4.382e-01	1.497e-01	4.655e-02	2.022e-01	4.182e-01	2.149e-01	4.557e-01	3.882e-01	3.179e-01	4.395e-01	7.657e-01	5.000e-01	1.000e+00
5.900e+03	2.500e-01	8.689e-02	4.382e-01	1.287e-01	4.655e-02	2.022e-01	4.182e-01	2.149e-01	4.557e-01	3.882e-01	3.179e-01	4.395e-01	8.175e-01	5.000e-01	1.000e+00
6.000e+03	2.500e-01	8.689e-02	4.382e-01	1.287e-01	4.655e-02	2.022e-01	4.182e-01	2.149e-01	4.557e-01	3.882e-01	3.179e-01	4.395e-01	8.175e-01	5.000e-01	1.000e+00
6.100e+03	2.500e-01	8.689e-02	4.382e-01	1.287e-01	4.655e-02	2.022e-01	4.182e-01	2.149e-01	4.557e-01	3.882e-01	3.179e-01	4.395e-01	8.175e-01	5.000e-01	1.000e+00
